,DT,Lufttemperatur,Vindstyrke,Solskinstid
106,2022-01-04 11:00:00,4.08,1.64,0.0
107,2022-01-04 12:00:00,3.75,3.4,0.0
108,2022-01-04 13:00:00,3.2600000000000002,5.0200000000000005,0.0
109,2022-01-04 14:00:00,2.9166666666666665,4.8500000000000005,0.0
110,2022-01-04 15:00:00,2.6333333333333333,5.766666666666667,0.0
111,2022-01-04 16:00:00,3.1,5.55,0.0
112,2022-01-04 17:00:00,2.3200000000000003,4.36,0.0
113,2022-01-04 18:00:00,2.0,2.6,0.0
114,2022-01-04 19:00:00,1.9166666666666667,1.1666666666666667,0.0
115,2022-01-04 20:00:00,2.1,2.0166666666666666,0.0
116,2022-01-04 21:00:00,2.0166666666666666,1.4333333333333333,0.0
117,2022-01-04 22:00:00,1.9000000000000001,1.1833333333333333,0.0
118,2022-01-04 23:00:00,2.433333333333333,2.9333333333333336,0.0
119,2022-01-05 00:00:00,2.6666666666666665,2.033333333333333,0.0
120,2022-01-05 01:00:00,2.5166666666666666,3.483333333333333,0.0
121,2022-01-05 02:00:00,2.433333333333333,4.5,0.0
122,2022-01-05 03:00:00,2.4,4.883333333333334,0.0
123,2022-01-05 04:00:00,2.5166666666666666,5.066666666666666,0.0
124,2022-01-05 05:00:00,2.733333333333333,6.55,0.0
125,2022-01-05 06:00:00,2.6,6.220000000000001,0.0
126,2022-01-05 07:00:00,2.6,4.95,0.0
127,2022-01-05 08:00:00,2.733333333333333,4.816666666666666,0.0
128,2022-01-05 09:00:00,2.783333333333333,3.6999999999999997,4.3
129,2022-01-05 10:00:00,2.6999999999999997,5.0,0.0
130,2022-01-05 11:00:00,2.8333333333333335,5.933333333333334,15.7
131,2022-01-05 12:00:00,3.033333333333333,6.466666666666666,0.0
132,2022-01-05 13:00:00,2.966666666666667,6.283333333333334,0.0
133,2022-01-05 14:00:00,2.8666666666666667,5.95,0.0
134,2022-01-05 15:00:00,2.88,5.82,0.0
135,2022-01-05 16:00:00,2.8000000000000003,5.3500000000000005,0.0
136,2022-01-05 17:00:00,2.3666666666666667,3.0833333333333335,0.0
137,2022-01-05 18:00:00,1.7666666666666666,1.1,0.0
138,2022-01-05 19:00:00,2.0833333333333335,2.6166666666666667,0.0
139,2022-01-05 20:00:00,1.7666666666666666,3.283333333333333,0.0
140,2022-01-05 21:00:00,1.3999999999999997,2.466666666666667,0.0
141,2022-01-05 22:00:00,0.9,0.9,0.0
142,2022-01-05 23:00:00,0.8500000000000001,0.5499999999999999,0.0
143,2022-01-06 00:00:00,-0.16666666666666666,1.4333333333333333,0.0
144,2022-01-06 01:00:00,-0.6599999999999999,0.8600000000000001,0.0
145,2022-01-06 02:00:00,-0.43333333333333335,1.3666666666666665,0.0
146,2022-01-06 03:00:00,-0.9666666666666667,1.0666666666666667,0.0
147,2022-01-06 04:00:00,-1.4166666666666667,1.5999999999999999,0.0
148,2022-01-06 05:00:00,-1.7166666666666668,2.066666666666667,0.0
149,2022-01-06 06:00:00,-1.6166666666666665,1.6833333333333333,0.0
150,2022-01-06 07:00:00,-1.4333333333333333,1.7000000000000002,0.0
151,2022-01-06 08:00:00,-1.4166666666666667,1.9666666666666668,0.0
152,2022-01-06 09:00:00,-0.5333333333333333,2.5833333333333335,0.0
153,2022-01-06 10:00:00,-0.016666666666666663,2.716666666666667,52.3
154,2022-01-06 11:00:00,0.6799999999999999,3.0,48.3
155,2022-01-06 12:00:00,0.9500000000000001,3.6333333333333333,0.0
156,2022-01-06 13:00:00,1.02,4.0,0.0
157,2022-01-06 14:00:00,1.25,4.116666666666666,0.0
158,2022-01-06 15:00:00,1.3499999999999999,3.633333333333333,0.0
159,2022-01-06 16:00:00,1.8166666666666667,4.183333333333334,0.0
160,2022-01-06 17:00:00,2.183333333333333,5.166666666666667,0.0
161,2022-01-06 18:00:00,2.65,6.866666666666667,0.0
162,2022-01-06 19:00:00,2.8166666666666664,7.6000000000000005,0.0
163,2022-01-06 20:00:00,3.016666666666667,8.166666666666666,0.0
164,2022-01-06 21:00:00,3.1333333333333333,8.416666666666666,0.0
165,2022-01-06 22:00:00,2.283333333333333,7.3,0.0
166,2022-01-06 23:00:00,2.5500000000000003,7.266666666666667,0.0
167,2022-01-07 00:00:00,3.033333333333333,8.016666666666667,0.0
168,2022-01-07 01:00:00,3.3666666666666667,8.533333333333333,0.0
169,2022-01-07 02:00:00,3.1666666666666665,7.1000000000000005,0.0
170,2022-01-07 03:00:00,3.966666666666667,6.5,0.0
171,2022-01-07 04:00:00,3.7599999999999993,6.5200000000000005,0.0
172,2022-01-07 05:00:00,4.216666666666667,5.933333333333334,0.0
173,2022-01-07 06:00:00,4.88,5.5,0.0
174,2022-01-07 07:00:00,5.0,5.6499999999999995,0.0
175,2022-01-07 08:00:00,3.283333333333333,5.583333333333333,0.0
176,2022-01-07 09:00:00,3.84,5.9399999999999995,0.0
177,2022-01-07 10:00:00,4.183333333333334,5.566666666666666,0.0
178,2022-01-07 11:00:00,4.6000000000000005,5.616666666666667,3.0
179,2022-01-07 12:00:00,4.55,7.0,0.0
180,2022-01-07 13:00:00,4.616666666666666,7.6000000000000005,0.0
181,2022-01-07 14:00:00,4.666666666666667,7.95,0.0
182,2022-01-07 15:00:00,4.7,7.3500000000000005,0.0
183,2022-01-07 16:00:00,4.616666666666666,5.866666666666667,0.0
184,2022-01-07 17:00:00,4.833333333333333,5.233333333333333,0.0
185,2022-01-07 18:00:00,5.2,5.1499999999999995,0.0
186,2022-01-07 19:00:00,5.26,5.359999999999999,0.0
187,2022-01-07 20:00:00,5.25,4.433333333333334,0.0
188,2022-01-07 21:00:00,5.18,4.220000000000001,0.0
189,2022-01-07 22:00:00,4.640000000000001,4.5200000000000005,0.0
190,2022-01-07 23:00:00,3.9166666666666665,2.8833333333333333,0.0
191,2022-01-08 00:00:00,3.766666666666667,2.5166666666666666,0.0
192,2022-01-08 01:00:00,3.4166666666666665,2.5,0.0
193,2022-01-08 02:00:00,3.5,1.8499999999999999,0.0
194,2022-01-08 03:00:00,3.5,2.7,0.0
195,2022-01-08 04:00:00,3.3333333333333335,2.6166666666666667,0.0
196,2022-01-08 05:00:00,3.233333333333333,3.0666666666666664,0.0
197,2022-01-08 06:00:00,1.7833333333333332,5.016666666666667,0.0
198,2022-01-08 07:00:00,1.3333333333333333,5.45,0.0
199,2022-01-08 08:00:00,1.6000000000000003,5.333333333333333,0.0
200,2022-01-08 09:00:00,2.3000000000000003,5.216666666666667,0.0
201,2022-01-08 10:00:00,2.62,4.82,0.0
202,2022-01-08 11:00:00,2.766666666666667,4.183333333333334,0.0
203,2022-01-08 12:00:00,2.35,4.566666666666666,0.0
204,2022-01-08 13:00:00,2.183333333333333,3.6833333333333336,0.0
205,2022-01-08 14:00:00,2.6166666666666667,3.1666666666666665,0.0
206,2022-01-08 15:00:00,2.8000000000000003,3.75,0.0
207,2022-01-08 16:00:00,2.8333333333333335,3.283333333333333,0.0
208,2022-01-08 17:00:00,2.983333333333333,2.1999999999999997,0.0
209,2022-01-08 18:00:00,3.883333333333333,3.266666666666667,0.0
210,2022-01-08 19:00:00,4.1499999999999995,3.1999999999999997,0.0
211,2022-01-08 20:00:00,3.8249999999999997,5.65,0.0
212,2022-01-08 21:00:00,3.733333333333333,5.5,0.0
213,2022-01-08 22:00:00,3.483333333333333,4.6499999999999995,0.0
214,2022-01-08 23:00:00,3.6333333333333333,4.416666666666667,0.0
215,2022-01-09 00:00:00,3.6166666666666667,4.8999999999999995,0.0
216,2022-01-09 01:00:00,3.483333333333333,4.383333333333334,0.0
217,2022-01-09 02:00:00,3.3333333333333335,4.383333333333334,0.0
218,2022-01-09 03:00:00,3.0833333333333335,3.1333333333333333,0.0
219,2022-01-09 04:00:00,3.44,2.34,0.0
220,2022-01-09 05:00:00,3.8833333333333333,3.3333333333333335,0.0
221,2022-01-09 06:00:00,3.12,1.3599999999999999,0.0
222,2022-01-09 07:00:00,2.3000000000000003,0.9500000000000001,0.0
223,2022-01-09 08:00:00,1.9833333333333334,0.8166666666666668,0.0
224,2022-01-09 09:00:00,1.25,1.4166666666666667,0.0
225,2022-01-09 10:00:00,1.4666666666666668,0.5666666666666667,0.0
226,2022-01-09 11:00:00,1.7666666666666666,0.44999999999999996,0.0
227,2022-01-09 12:00:00,2.4166666666666665,0.9,0.0
228,2022-01-09 13:00:00,3.78,3.1799999999999997,0.0
229,2022-01-09 14:00:00,4.016666666666667,4.6000000000000005,0.0
230,2022-01-09 15:00:00,4.133333333333334,3.6999999999999997,0.0
231,2022-01-09 16:00:00,4.016666666666667,4.533333333333333,0.0
232,2022-01-09 17:00:00,4.166666666666667,3.733333333333333,0.0
233,2022-01-09 18:00:00,3.766666666666666,1.5333333333333334,0.0
234,2022-01-09 19:00:00,4.05,2.15,0.0
235,2022-01-09 20:00:00,3.716666666666667,0.8333333333333334,0.0
236,2022-01-09 21:00:00,3.6166666666666667,0.6666666666666666,0.0
