DT,Lufttemperatur,Vindstyrke,Solskinstid,Volum
2015-07-16 16:00:00,13.733333333333334,4.333333333333333,48.7,107
2015-07-16 17:00:00,13.866666666666667,3.9333333333333336,60.0,84
2015-07-16 18:00:00,13.216666666666667,4.233333333333333,60.0,57
2015-07-16 19:00:00,12.683333333333332,2.9499999999999997,60.0,49
2015-07-16 20:00:00,12.066666666666668,2.4833333333333334,36.0,45
2015-07-16 21:00:00,11.35,1.0833333333333333,0.0,25
2015-07-16 22:00:00,10.616666666666667,1.05,0.0,26
2015-07-17 00:00:00,9.733333333333333,1.7166666666666668,0.0,6
2015-07-17 01:00:00,8.9,1.05,0.0,7
2015-07-17 02:00:00,8.466666666666667,1.0,0.0,1
2015-07-17 03:00:00,8.233333333333333,1.1833333333333333,0.0,3
2015-07-17 04:00:00,8.533333333333333,0.5,22.7,5
2015-07-17 05:00:00,10.833333333333334,0.5333333333333333,60.0,5
2015-07-17 07:00:00,14.35,0.7166666666666667,60.0,95
2015-07-17 09:00:00,15.983333333333334,5.183333333333334,60.0,45
2015-07-17 10:00:00,16.566666666666666,3.766666666666667,60.0,39
2015-07-17 11:00:00,17.833333333333332,1.7166666666666668,59.7,48
2015-07-17 12:00:00,17.983333333333334,1.8666666666666665,53.3,56
2015-07-17 13:00:00,17.599999999999998,2.8166666666666664,24.599999999999998,76
2015-07-17 14:00:00,17.8,2.466666666666667,5.3,76
2015-07-17 15:00:00,17.733333333333334,2.216666666666667,0.0,130
2015-07-17 16:00:00,17.216666666666665,2.1666666666666665,0.0,108
2015-07-17 18:00:00,16.733333333333334,1.5,0.0,46
2015-07-17 20:00:00,14.066666666666668,1.366666666666667,0.0,19
2015-07-17 21:00:00,12.933333333333332,2.066666666666667,0.0,20
2015-07-17 22:00:00,11.616666666666667,2.4,0.0,13
2015-07-17 23:00:00,11.233333333333334,0.9,0.0,13
2015-07-18 00:00:00,11.266666666666666,1.5166666666666666,0.0,8
2015-07-18 02:00:00,10.833333333333334,1.2333333333333334,0.0,4
2015-07-18 03:00:00,11.183333333333332,4.433333333333334,0.0,3
2015-07-18 04:00:00,11.25,4.416666666666667,0.0,6
2015-07-18 06:00:00,12.016666666666666,2.8333333333333335,0.0,6
2015-07-18 08:00:00,13.049999999999999,5.133333333333334,0.0,12
2015-07-18 09:00:00,12.75,4.916666666666667,0.0,19
2015-07-18 10:00:00,11.9,4.766666666666667,0.0,17
2015-07-18 11:00:00,11.933333333333332,5.25,0.0,13
2015-07-18 12:00:00,12.216666666666667,6.3999999999999995,0.0,13
2015-07-18 13:00:00,12.033333333333333,5.683333333333334,0.0,14
2015-07-18 14:00:00,12.0,6.05,0.0,22
2015-07-18 15:00:00,12.033333333333333,5.816666666666666,0.0,17
2015-07-18 16:00:00,12.416666666666666,5.483333333333333,0.0,14
2015-07-18 18:00:00,12.416666666666666,4.383333333333334,0.0,10
2015-07-18 19:00:00,12.4,3.65,0.0,4
2015-07-18 20:00:00,12.383333333333333,2.4333333333333336,0.0,10
2015-07-18 21:00:00,12.416666666666666,2.6166666666666667,0.0,9
2015-07-18 23:00:00,12.216666666666667,1.75,0.0,4
2015-07-19 00:00:00,12.233333333333334,1.05,0.0,9
2015-07-19 01:00:00,12.166666666666666,1.1666666666666667,0.0,8
2015-07-19 02:00:00,12.0,1.0999999999999999,0.0,3
2015-07-19 03:00:00,11.916666666666666,1.5333333333333332,0.0,5
2015-07-19 04:00:00,11.983333333333334,2.316666666666667,0.0,2
2015-07-19 05:00:00,12.316666666666668,2.3666666666666667,0.0,3
2015-07-19 06:00:00,12.616666666666667,3.9,0.0,7
2015-07-19 07:00:00,12.233333333333334,4.016666666666667,0.0,4
2015-07-19 08:00:00,11.316666666666668,4.4,0.0,6
2015-07-19 09:00:00,12.066666666666668,4.216666666666667,0.0,12
2015-07-19 10:00:00,12.483333333333334,6.016666666666667,2.0,17
2015-07-19 11:00:00,12.766666666666666,5.1499999999999995,0.0,17
